This RNA Expression meta-signature was derived from Illumina's BaseSpace Correlation Engine Meta-Analysis app. The analysis aggregated 15 Biosets for SARS day7 post-infection vs control Lung tissue experiments from ten independent studies (GSE40824, GSE40827, GSE49262, GSE49263, GSE50000, GSE50878, GSE51386, GSE51387, GSE64660, GSE68820) and two strains (SARS-CoV MA15, icSARS-CoV). For more go to https://github.com/BioinfoSolutions/Coronavirus_metadata.



The export table from the Meta-Analysis was transformed in the following ways to define this SARS-CoV day7 post-infection lung meta-signature. The bioset-specific gene scores were modified with fold change directionality, then the signed bioset-specific gene scores were averaged for each gene across all biosets for a signed overall score. The genes and scores were then imported using the Fold Change (+/- mode) option to use the directional values and rank."				
				
Gene	Specificity	Abs Score Sum	Score Sum	Score Ave
Camk2n1	10 out of 11	338.2217628	-338.2217628	-30.74743298
Chst3	8 out of 11	338.1482882	-338.1482882	-30.74075347
Slc34a2	9 out of 11	337.9487342	-337.9487342	-30.7226122
Rap1gap	10 out of 11	337.7340495	-337.7340495	-30.70309541
Fgfr3	10 out of 11	337.0249856	-337.0249856	-30.63863505
Tgm4	9 out of 11	337.0198761	-337.0198761	-30.63817055
Rgs11	9 out of 11	335.851589	-335.851589	-30.53196264
Ppm1l	10 out of 11	335.6912453	-335.6912453	-30.51738594
Cbr2	10 out of 11	335.3601279	-335.3601279	-30.48728436
Entpd8	8 out of 11	335.0867592	-335.0867592	-30.46243266
Myh11	9 out of 11	334.8301419	-334.8301419	-30.43910381
Cybrd1	10 out of 11	334.5948192	-334.5948192	-30.41771083
Gnmt	10 out of 11	334.5748113	-334.5748113	-30.41589193
Fasn	10 out of 11	334.4600638	-334.4600638	-30.40546035
Pgm5	11 out of 11	333.2724407	-333.2724407	-30.29749461
Tmem132d	8 out of 11	332.9088037	-332.9088037	-30.2644367
A_52_P460050	10 out of 11	332.662078	-332.662078	-30.24200709
Zfp612	10 out of 11	332.3639155	-332.3639155	-30.21490141
Ehd4	10 out of 11	332.1596739	-332.1596739	-30.19633399
Mm.246506	10 out of 11	331.2587181	-331.2587181	-30.11442892
Gsn	10 out of 11	331.2300062	-331.2300062	-30.11181874
Efna1	10 out of 11	330.4492212	-330.4492212	-30.04083829
Igf1r	11 out of 11	330.1252806	-330.1252806	-30.01138914
Zbtb4	10 out of 11	329.8897633	-329.8897633	-29.98997848
Rbmxl2	9 out of 11	329.7462156	-329.7462156	-29.97692869
Apln	9 out of 11	329.6917617	-329.6917617	-29.97197833
Unc79	10 out of 11	329.3086795	-329.3086795	-29.93715268
Arap3	10 out of 11	328.2177831	-328.2177831	-29.83798028
Prdx6	10 out of 11	328.0302212	-328.0302212	-29.8209292
Dgkb	10 out of 11	327.9772741	-327.9772741	-29.81611582
Ecm2	9 out of 11	327.8148549	-327.8148549	-29.80135044
Srr	11 out of 11	326.8113541	-326.8113541	-29.7101231
Plin1	7 out of 11	326.1769771	-326.1769771	-29.65245246
Rgs9	9 out of 11	326.1241076	-326.1241076	-29.64764615
1700024G13Rik	10 out of 11	325.8951197	-325.8951197	-29.62682907
Nap1l5	10 out of 11	325.7149442	-325.7149442	-29.61044947
Grb7	10 out of 11	325.0768186	-325.0768186	-29.55243805
