"This RNA Expression meta-signature was derived from Illumina's BaseSpace Correlation Engine Meta-Analysis app. The analysis aggregated 13 Biosets for SARS day1 post-infection vs control Lung tissue experiments from six independent studies (GSE19137, GSE23955 , GSE36969,  GSE49262, GSE49263, GSE50000) and five strains (SARS-CoV GZ02, SARS-CoV HC-SZ-6103, SARS-CoV MA15, SARS-CoV MA15g, SARS-CoV MA15e, SARS-CoV TOR2, SARS-CoV Urbani). For more go to https://github.com/BioinfoSolutions/Coronavirus_metadata.   "		
"The export table from the Meta-Analysis was transformed in the following ways to define this SARS-CoV day1 post-infection lung meta-signature. The bioset-specific gene scores were modified with fold change directionality, then the signed bioset-specific gene scores were averaged for each gene across all biosets for a signed overall score. The genes and scores were then imported using the Fold Change (+/- mode) option."		
		
Gene	Specificity	Score Ave
Ncald	7 out of 13	-16.52081068
Spa17	6 out of 13	-16.49783723
Grb14	5 out of 13	-16.4928764
Mettl7a2	5 out of 13	-16.46555122
ENSMUSG00000023461	4 out of 13	-16.46295656
Tlcd1	7 out of 13	-16.45063474
Higd1a	8 out of 13	-16.4458273
Thnsl2	7 out of 13	-16.43605732
Gstm1	6 out of 13	-16.43355997
Zfyve21	8 out of 13	-16.43172131
Mm.384128	7 out of 13	-16.43141068
Serf1	6 out of 13	-16.41770229
Sgsh	6 out of 13	-16.41283679
Chst8	5 out of 13	-16.4101819
Olfml2a	6 out of 13	-16.39388405
Acadm	8 out of 13	-16.38955117
Epor	7 out of 13	-16.38052571
Chadl	5 out of 13	-16.37699013
Adarb1	7 out of 13	-16.36849699
Fam161a	8 out of 13	-16.35515144
Asph	8 out of 13	-16.35158875
Nme3	7 out of 13	-16.33234671
Wnt2	5 out of 13	-16.3246748
0610007P22Rik	9 out of 13	-16.31889606
Gsta3	6 out of 13	-16.31409695
Pstk	6 out of 13	-16.29429313
Snapc5	7 out of 13	-16.27715465
Ephx1	6 out of 13	-16.26704861
Rdm1	6 out of 13	-16.23482389
Ptprs	6 out of 13	-16.22309815
Cryl1	6 out of 13	-16.22019913
1810011H11Rik	6 out of 13	-16.21619611
Acot7	6 out of 13	-16.21222087
Agmo	7 out of 13	-16.20449739
Tmem163	5 out of 13	-16.19943384
Pfn2	6 out of 13	-16.19039869
Ssbp3	6 out of 13	-16.1790148
Slc36a1	7 out of 13	-16.173722
Cldn3	7 out of 13	-16.15223433
Tsen15	7 out of 13	-16.13454444
Pcyt2	7 out of 13	-16.13221511
Osbpl5	7 out of 13	-16.13060416
Rtn2	5 out of 13	-16.11772353
Plekhg3	9 out of 13	-16.11348961
Zfp185	8 out of 13	-16.10425727
Bdh2	7 out of 13	-16.09671152
Oaz2	6 out of 13	-16.08628143
Gm14403	6 out of 13	-16.07864586
Tmem30b	7 out of 13	-16.07409695
Hmgcs2	6 out of 13	-16.05656259
LOC714372	4 out of 13	-16.03819086
Gkn3	6 out of 13	-15.99779299
Fmo1	6 out of 13	-15.99236506
Bnc1	5 out of 13	-15.97911575
2010110P09Rik	6 out of 13	-15.97158331
Tspan17	7 out of 13	-15.9691661
Tpi1	8 out of 13	-15.96691427
Dyrk1b	9 out of 13	-15.96104484
LOC709595	5 out of 13	-15.96046818
LOC100503966	6 out of 13	-15.94357218
Ttc8	8 out of 13	-15.93668926
Siae	7 out of 13	-15.92933646
Fuk	9 out of 13	-15.92379098
Casp9	8 out of 13	-15.91840208
Alad	7 out of 13	-15.91646583
Evc	7 out of 13	-15.91342499
Alox5	6 out of 13	-15.9103534
9530091C08Rik	5 out of 13	-15.90775002
Zdhhc3	7 out of 13	-15.89287019
Tmem54	5 out of 13	-15.88941147
BC057022	5 out of 13	-15.8735241
Tmem106b	8 out of 13	-15.87240012
Cyp2d22	5 out of 13	-15.87213245
Fam103a1	8 out of 13	-15.86578529
Sord	5 out of 13	-15.85627217
Snai2	6 out of 13	-15.83051778
Antxr1	6 out of 13	-15.8235787
Prpsap2	7 out of 13	-15.78933084
Agfg2	8 out of 13	-15.78692789
H1f0	6 out of 13	-15.78198255
