"This RNA Expression meta-signature was derived from Illumina's BaseSpace Correlation Engine Meta-Analysis app. The analysis aggregated 15 Biosets for SARS day4 post-infection vs control Lung tissue experiments from twelve independent studies (GSE23955, GSE36969, GSE40824, GSE40827, GSE49262, GSE50000, GSE50878, GSE51386, GSE51387, GSE64660, GSE64661, GSE68820) and four strains (SARS-CoV GZ02, SARS-CoV HC-SZ-6103, SARS-CoV Urbani, SARS-CoV MA15). For more go to https://github.com/BioinfoSolutions/Coronavirus_metadata."		
"The export table from the Meta-Analysis was transformed in the following ways to define this SARS-CoV day4 post-infection lung meta-signature. The bioset-specific gene scores were modified with fold change directionality, then the signed bioset-specific gene scores were averaged for each gene across all biosets for a signed overall score. The genes and scores were then imported using the Fold Change (+/- mode) option to use the directional values and rank."		
		
Gene	Specificity	Score Ave
Kif15	10 out of 15	35.75485639
Hn1l	11 out of 15	35.7272231
Tcstv1	10 out of 15	35.66415702
DIO2	10 out of 15	35.66200967
Gch1	11 out of 15	35.60374574
Thbs1	8 out of 15	35.47578707
LOC715680	10 out of 15	35.47288542
Ifitm7	12 out of 15	35.35582309
Dbc1	13 out of 15	35.3528449
Slc11a1	10 out of 15	35.34709341
Kcne4	11 out of 15	35.1810067
Ms4a14	7 out of 15	35.15222503
Ercc6l	9 out of 15	35.13357618
Ppa1	8 out of 15	34.82279902
Rfc4	11 out of 15	34.78418177
Gbp3	9 out of 15	34.78226708
H2-M2	10 out of 15	34.75953905
Mafb	8 out of 15	34.73566628
Basp1	9 out of 15	34.67951974
AF251705	10 out of 15	34.64759713
Ung	10 out of 15	34.62973077
Fkbp5	7 out of 15	34.57509776
Ly86	10 out of 15	34.52186482
Lgals9	9 out of 15	34.40658688
Alpl	9 out of 15	34.35067907
Lilrb3	11 out of 15	34.2929568
Plk4	12 out of 15	34.24158606
MYC	10 out of 15	34.22222493
Edem1	11 out of 15	34.17127432
Tnfrsf1b	10 out of 15	34.0355003
C1QC	9 out of 15	33.99822091
Dppa3	7 out of 15	33.99111898
Cd300a	9 out of 15	33.90697823
Hist1h2af	11 out of 15	33.89461513
Cxcl5	9 out of 15	33.86433549
Prg4	7 out of 15	33.82749312
Lox	7 out of 15	33.82322731
Prss22	8 out of 15	33.76785358
Vcam1	12 out of 15	33.73080643
Ccl8	7 out of 15	33.69260536
Dnm3os	10 out of 15	33.67687623
Hist1h1a	11 out of 15	33.64809596
Chaf1a	12 out of 15	33.61181242
Klra2	10 out of 15	33.54316795
Pnp	12 out of 15	33.50548688
4930599N23Rik	8 out of 15	33.47219048
Rbfox2	12 out of 15	33.39250823
Fen1	10 out of 15	33.36316019
Osmr	12 out of 15	33.36192667
Nsl1	10 out of 15	33.32916096
3200002M19Rik	10 out of 15	33.19017723
A_52_P351116	10 out of 15	33.16099776
Socs1	11 out of 15	33.11287293
Racgap1	11 out of 15	33.04738452
Diap3	10 out of 15	33.03315622
Trim16	11 out of 15	33.02521746
Lypd8	11 out of 15	33.01068816
Gen1	9 out of 15	33.00862903
Creg2	8 out of 15	32.98066047
Tubb2a	12 out of 15	32.87098328
F3	7 out of 15	32.85925039
Gbp5	8 out of 15	32.81631066
Ifitm3	12 out of 15	32.72425942
Serpinb8	11 out of 15	32.71919314
Espl1	9 out of 15	32.5954906
1600014C10Rik	11 out of 15	32.58778946
Incenp	10 out of 15	32.58710928
Dlgap5	10 out of 15	32.53926517
A430084P05Rik	9 out of 15	32.50357032
Cenpn	12 out of 15	32.48506247
Ptx3	7 out of 15	32.47463483
Mcm2	10 out of 15	32.47327641
Ncapd2	14 out of 15	32.40682659
Gas2l3	10 out of 15	32.37300861
Fyb	11 out of 15	32.32316761
Trex1	8 out of 15	32.28658863
Fam167a	12 out of 15	32.20797397
Krt8	10 out of 15	32.19971416
BC030867	10 out of 15	32.19783582
C2	10 out of 15	32.19711444
Nmral1	11 out of 15	32.18019443
Procr	10 out of 15	32.15706414
Nav3	10 out of 15	32.0935365
Chrna7	7 out of 15	32.08770349
Mmp3	9 out of 15	31.89486649
Slc23a3	9 out of 15	31.86634499
Samd8	13 out of 15	31.85550401
SLA	11 out of 15	31.66483447
Ankrd1	7 out of 15	31.64613792
Kif2c	8 out of 15	31.62992905
Vav1	10 out of 15	31.60152939
Tuba1c	8 out of 15	31.57369029
Muc4	10 out of 15	31.57042497
H2-Bl	9 out of 15	31.51083059
Zwilch	8 out of 15	31.48691369
Col22a1	10 out of 15	31.47871009
Itgb6	11 out of 15	31.43938501
Bub1	8 out of 15	31.43887641
Irf9	11 out of 15	31.40199492
Whsc1	10 out of 15	31.30317264
Ctsk	13 out of 15	31.19092358
Xcl1	8 out of 15	31.16208711
Slamf9	7 out of 15	31.13924954
Nnmt	10 out of 15	31.12221009
Cd180	11 out of 15	31.04483828
2200002D01Rik	9 out of 15	31.04200202
2810417H13Rik	10 out of 15	31.03075327
Piwil4	11 out of 15	30.97709431
1300002K09Rik	8 out of 15	30.96878761
Cd109	12 out of 15	30.94799845
SDAD1	12 out of 15	30.93658881
Cd300ld	10 out of 15	30.92747658
Eme1	9 out of 15	30.91581668
Bub1b	9 out of 15	30.84587836
Mt1	7 out of 15	30.80207361
Rfc5	10 out of 15	30.78059034
Igsf6	9 out of 15	30.71169538
Ctss	10 out of 15	30.64464685
Il13ra1	12 out of 15	30.62231347
Tmem213	8 out of 15	30.61687426
Ildr2	11 out of 15	30.61295544
Zdhhc24	12 out of 15	30.60352209
Tube1	10 out of 15	30.48744644
Ccnf	10 out of 15	30.43344935
Lman1	11 out of 15	30.43073528
Fbn1	12 out of 15	30.43043352
Lgals3	12 out of 15	30.42490652
Nrcam	10 out of 15	30.40588047
AK013903	11 out of 15	30.34414238
FGF2	9 out of 15	30.29319628
Ncoa3	12 out of 15	30.25111216
