"This RNA Expression meta-signature was derived from Illumina's BaseSpace Correlation Engine Meta-Analysis app. The analysis aggregated 15 Biosets for SARS day7 post-infection vs control Lung tissue experiments from ten independent studies (GSE40824, GSE40827, GSE49262, GSE49263, GSE50000, GSE50878, GSE51386, GSE51387, GSE64660, GSE68820) and two strains (SARS-CoV MA15, icSARS-CoV). For more go to https://github.com/BioinfoSolutions/Coronavirus_metadata."		
"The export table from the Meta-Analysis was transformed in the following ways to define this SARS-CoV day7 post-infection lung meta-signature. The bioset-specific gene scores were modified with fold change directionality, then the signed bioset-specific gene scores were averaged for each gene across all biosets for a signed overall score. The genes and scores were then imported using the Fold Change (+/- mode) option to use the directional values and rank."""		
		
Gene	Specificity	Score Ave
Fgfr4	8 out of 11	-28.97840362
Efemp1	10 out of 11	-28.94581593
Slc2a4	9 out of 11	-28.94382349
Clstn1	10 out of 11	-28.90270552
Clmn	10 out of 11	-28.90003802
1810059H22Rik	11 out of 11	-28.84504809
Akap14	10 out of 11	-28.81261929
Mgst1	10 out of 11	-28.77706123
Kifc2	10 out of 11	-28.73561225
Rab3a	10 out of 11	-28.6414179
Ttc28	10 out of 11	-28.63784115
P2rx6	9 out of 11	-28.58986945
A_52_P1093579	7 out of 11	-28.5784511
Cmya5	10 out of 11	-28.56848284
Lmod1	10 out of 11	-28.53581845
Ccdc164	10 out of 11	-28.52611549
Hdac11	10 out of 11	-28.51009839
Sema3e	10 out of 11	-28.49598469
Scn1a	10 out of 11	-28.4934571
Ephx3	10 out of 11	-28.4393776
Crim1	10 out of 11	-28.41632178
Fbxo31	10 out of 11	-28.39285112
Mmp15	9 out of 11	-28.3722966
Rnf144a	9 out of 11	-28.34897643
Dhrs3	10 out of 11	-28.34104657
Marveld1	10 out of 11	-28.32947578
Ero1lb	10 out of 11	-28.26202644
Aktip	10 out of 11	-28.23774395
Deptor	10 out of 11	-28.23322522
A_52_P99082	9 out of 11	-28.22704978
A_52_P186362	9 out of 11	-28.22482136
Pde5a	10 out of 11	-28.1985687
Nxpe2	10 out of 11	-28.19331927
2010007H06Rik	10 out of 11	-28.18001876
Vegfa	10 out of 11	-28.15377564
AB041803	10 out of 11	-28.12477163
Slc47a1	10 out of 11	-28.1045737
Myh10	11 out of 11	-28.07247184
Gucy1a3	10 out of 11	-28.06543346
Ppap2b	10 out of 11	-28.05707785
Ripply3	10 out of 11	-28.03479631
Plscr4	10 out of 11	-28.02897598
Six4	10 out of 11	-27.98576138
Macrod1	10 out of 11	-27.91503632
Rab44	10 out of 11	-27.9054992
Emc7	10 out of 11	-27.89510548
Sult1a1	8 out of 11	-27.87078835
Stx3	10 out of 11	-27.86916241
9430079G20Rik	11 out of 11	-27.86127818
Gm129	8 out of 11	-27.84675961
C130074G19Rik	9 out of 11	-27.82465899
Shisa2	7 out of 11	-27.82235776
Cd97	9 out of 11	-27.81334503
Upk2	9 out of 11	-27.74193519
Trpc3	10 out of 11	-27.70689222
Ggnbp1	10 out of 11	-27.68678343
Pir	10 out of 11	-27.65089394
Sorbs1	10 out of 11	-27.57028716
Cdh13	9 out of 11	-27.56379721
Mapk12	10 out of 11	-27.53387621
Cry2	9 out of 11	-27.52892368
Met	10 out of 11	-27.50626953
Sema3g	9 out of 11	-27.49808323
Calcrl	10 out of 11	-27.49440154
Syne2	10 out of 11	-27.49426545
Myom1	10 out of 11	-27.47053575
9530091C08Rik	10 out of 11	-27.4473901
Sec14l3	10 out of 11	-27.41405661
4921506M07Rik	10 out of 11	-27.40590926
Pnkd	10 out of 11	-27.40579712
Acss1	10 out of 11	-27.37031919
Crebl2	10 out of 11	-27.36502364
Cd36	9 out of 11	-27.30051351
Cpe	10 out of 11	-27.27974092
Cav2	10 out of 11	-27.27107327
Arhgef17	11 out of 11	-27.26714969
Rftn2	10 out of 11	-27.22679939
1600029I14Rik	10 out of 11	-27.21018235
Stk33	10 out of 11	-27.20754217
Fam82a1	10 out of 11	-27.16277027
Ntf3	10 out of 11	-27.12385433
Baiap2l1	10 out of 11	-27.10290069
Spag6	10 out of 11	-27.03374196
Slc25a27	10 out of 11	-27.01349056
Srcin1	9 out of 11	-26.93251838
Enpep	10 out of 11	-26.93051524
Lss	8 out of 11	-26.92260523
Fgfr2	10 out of 11	-26.91272009
Sox7	10 out of 11	-26.90488321
Eng	9 out of 11	-26.82159093
Acot1	9 out of 11	-26.74973929
Klf9	8 out of 11	-26.71274586
Plk5	10 out of 11	-26.70989299
6330439K17Rik	10 out of 11	-26.69584679
Efcab4a	8 out of 11	-26.67229386
Mogat1	9 out of 11	-26.67013378
Heg1	11 out of 11	-26.64841209
Stard8	10 out of 11	-26.62540007
Dnajc28	10 out of 11	-26.62166963
Fxyd1	10 out of 11	-26.6127476
Vldlr	10 out of 11	-26.59386262
Fhad1	11 out of 11	-26.58257372
Casc4	10 out of 11	-26.57699037
Sema3c	9 out of 11	-26.53476975
Bmx	10 out of 11	-26.48989922
Vsnl1	9 out of 11	-26.43873912
Cdo1	11 out of 11	-26.40747878
Sspn	10 out of 11	-26.39574796
Cnfn	9 out of 11	-26.35165234
Gucy1b3	10 out of 11	-26.33562541
Wdr96	10 out of 11	-26.32478587
Mycbpap	10 out of 11	-26.21032364
Lgals12	9 out of 11	-26.20607536
Nhlrc2	10 out of 11	-26.19814014
Sdpr	10 out of 11	-26.15382883
Lpin1	10 out of 11	-26.14504582
Sipa1l1	10 out of 11	-26.13658035
DXBay18	10 out of 11	-26.11651395
A_52_P662562	7 out of 11	-26.10032826
1700026D08Rik	9 out of 11	-26.09913759
Fgf1	10 out of 11	-26.09732546
Dock6	10 out of 11	-26.08430937
Adamtsl5	9 out of 11	-26.0459099
Kcns3	10 out of 11	-26.0115467
Cyp2c44	9 out of 11	-25.98852961
Slc23a1	10 out of 11	-25.98557826
Stard9	10 out of 11	-25.9813386
Cnpy1	10 out of 11	-25.98076537
Cmtm8	10 out of 11	-25.95372268
Acnat1	9 out of 11	-25.92296511
Rarb	11 out of 11	-25.92148611
Nek5	9 out of 11	-25.90402742
Wdr69	10 out of 11	-25.86216977
Edil3	9 out of 11	-25.85895339
AI426330	10 out of 11	-25.84004946
Rprm	8 out of 11	-25.82009885
B3gnt4	9 out of 11	-25.79124389
Plxdc2	11 out of 11	-25.76270592
Ghr	10 out of 11	-25.75450322
Gm5624	7 out of 11	-25.69555434
